"Variable","Importance"
"v140",10.9189274240861
"v140_11c",3.05142656724152
"v141",11.9056421201928
"v141_11c",5.23601125210473
"v142",8.35801077604742
"v143",10.3699510438774
"v144",9.76567952905217
"v145",9.72377480634376
"v146",8.2876571706619
"v147",8.53041235611963
"v148",5.38116952514748
"v149",6.31651555867837
"v150",7.33969487204935
"v151",10.322856200965
"v152",8.15591893356024
"v153",16.2527248326287
"v154",22.133835461364
"v155",17.4206920584854
"v156",17.3462299911223
"v157",10.9614998086514
"v158",17.7192015615605
"v159",10.1010695045266
"v160",14.2965403597938
"v161",10.8672931607851
"v162",7.01723626502811
"v163",9.59078072712405
"v164",5.63606896822287
"v165",5.54895228408685
"v166",4.77002707931598
"v167",6.5022840614065
"v168",6.31253837424205
"v169",2.8832273502026
"v170",5.94183027384471
"v171",6.54500686008288
"v172",6.90596836141297
"v173",9.58819027566385
"v174_LR",6.51194702713615
"v174_cs",20.0964602284075
"v175_LR",8.0064856325658
"v175_cs",14.5014167536848
"v176",10.3515638408053
"v176_DK",2.16829691043041
"v177",7.55896528675302
"v177_DK",2.71588117993776
"v178",5.91131414687704
"v178_DK",3.42425973825651
"v179",8.16483527054998
"v179_DK",2.87634215440223
"v180",8.58364437934613
"v180_DK",2.64693952750652
"v181",9.9835603220602
"v181_DK",2.02827109957046
"v182",8.18913237893365
"v182_DK",1.80665102649601
"v183",10.6274560150873
"v183_DK",2.59547266620465
"v184",7.34256791833297
"v185",9.35003492093567
"v186",8.5193905021555
"v187",9.57063809562265
"v188",11.0251013617958
"v189",7.78976445764079
"v190",5.0200260279118
"v191",10.6685363720166
"v192",5.45194570662261
"v193",7.21698919924102
"v194",6.73459878960439
"v195",7.22524355021018
"v196",20.6609411438011
"v197",4.95100058693915
"v198",8.12455680248396
"v199",9.92745188888347
"v200",7.57566365709196
"v201",6.62453113301854
"v202",7.60759271839494
"v203",8.119668344979
"v204",2.97374849584768
"v205",5.75149305119592
"v206",5.54368651223341
"v207",4.99698982197605
"v208",7.62812738725163
"v209",7.97942612863684
"v210",8.52376681959695
"v211",4.70496754909148
"v212",7.76381006661091
"v213",6.49288892130542
"v214",7.49158940166225
"v215",8.57324194124054
"v216",9.26186865561627
"v217",9.07309792850973
"v218",12.38795206439
"v219",11.1283626249281
"v220",9.33704596206274
"v221",3.07546052833619
"v221_DK",-1.22124964923213
"v222",3.98943479690994
"v222_DK",-3.63358202783827
"v223",4.57124143855224
"v223_DK",-0.98743123465558
"v224",5.88421455146583
"v224_DK",-1.04190673463185
"v225",5.68531719199344
"v226",16.265990244418
"age",13.4745417014732
"age_r",8.01821547447545
"age_r2",7.13927199004844
"age_r3",8.56982177142993
"v227",2.35431814864415
"v228b",2.60402032549717
"v228b_r",3.21244684543467
"v229",3.03656484047723
"v230",2.29784996552968
"v231b",3.47246654217308
"v231b_r",3.04921608392767
"v232",3.3482953478065
"v233b",4.08214574182268
"v233b_r",2.80185260561362
"v234",9.06711515176701
"v235",11.6649665442381
"v236",7.71530913640087
"v237",4.52161135600989
"v238",3.42539786905017
"v239_r",5.56530510360786
"v239a",2.77820648444306
"v239b",3.89681932305095
"v240",6.56118764139081
"v241",7.46379714722281
"v242",9.08923021265167
"v242_r",7.60100712958077
"v243_edulvlb",9.39420769307553
"v243_edulvlb_2",6.62947657515679
"v243_edulvlb_1",6.42645791718202
"v243_ISCED_3",7.97233896968029
"v243_ISCED_2",6.84995843608915
"v243_ISCED_2b",7.35877583076011
"v243_ISCED_1",6.45345609765265
"v243_EISCED",8.50041380558947
"v243_ISCED97",7.59857332252498
"v243_8cat",8.46619905552426
"v243_r",4.04020126291672
